City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,cockburn town,21.4612,-71.1419,28.05,84,40,6.82,TC,1686277330
138,saudarkrokur,65.7461,-19.6394,8.96,83,100,4.88,IS,1686277340
139,saint-tropez,43.2693,6.6398,18.33,78,66,1.11,FR,1686277351
140,old town,50.087,14.4202,16.93,84,0,2.06,CZ,1686277361
141,puerto san jose,13.9256,-90.8244,27.59,78,73,3.59,GT,1686277371
142,davlekanovo,54.2215,55.0343,10.66,82,0,2.19,RU,1686277382
143,udachny,66.4167,112.4,16.92,41,66,8.38,RU,1686277392
144,tarauaca,-8.1614,-70.7656,22.67,95,26,0.36,BR,1686277402
145,san javier,37.8063,-0.8374,21.09,87,100,2.24,ES,1686277412
146,arar,30.9753,41.0381,26.01,21,0,5.14,SA,1686277423
147,geraldton,-28.7667,114.6,15.23,77,0,3.09,AU,1686277433
148,chunskiy,56.0815,99.6342,26.64,41,33,2.59,RU,1686277443
149,zhanaozen,43.3,52.8,20.51,34,0,6.76,KZ,1686277454
150,svobodnyy,51.4,128.1333,14.27,96,100,3.18,RU,1686277464
151,tual,-5.6667,132.75,27.46,79,100,7.19,ID,1686277475
152,minas de marcona,-15.2119,-75.1103,13.0,88,37,5.28,PE,1686277486
153,motygino,58.1831,94.7592,25.25,57,74,2.2,RU,1686277496
154,kayangel,8.0823,134.7173,28.81,74,73,5.22,PW,1686277507
155,coahuayana de hidalgo,18.7,-103.6583,26.11,83,84,1.74,MX,1686277518
156,constantia,44.1833,28.65,14.38,79,100,4.06,RO,1686277380
157,raja,8.4596,25.678,21.79,89,100,2.65,SS,1686277538
158,jamestown,42.097,-79.2353,13.77,76,100,1.54,US,1686277549
159,krupki,54.3178,29.1358,13.21,93,76,2.35,BY,1686277559
160,tidjikja,18.5564,-11.4271,31.42,27,0,6.03,MR,1686277570
161,lincoln,40.8,-96.667,25.95,81,0,3.6,US,1686276930
162,isafjordur,66.0755,-23.124,8.14,91,100,5.62,IS,1686277590
163,murzuq,25.9155,13.9184,27.05,27,0,4.47,LY,1686277356
164,bugana,7.9992,7.5836,22.84,94,63,1.61,NG,1686277611
165,pechory,57.8164,27.6119,8.7,77,100,4.27,RU,1686277621
166,port lincoln,-34.7333,135.8667,14.59,55,88,5.57,AU,1686277631
167,kuta,-8.7233,115.1723,27.97,83,40,2.68,ID,1686277642
168,longyearbyen,78.2186,15.6401,1.91,87,100,3.09,SJ,1686277652
